place,name,address,latitude,longitude,ranking
ChIJ--uMBmgDdkgRLKLZeFSj564,The Victoria,"68-70 Page's Walk, London SE1 4HL, United Kingdom",51.4945665,-0.0806818,4.7
ChIJ-1LEVxIXdkgR9WIZue6vaM0,The King of Prussia,"363 Regents Park Rd, London N3 1DH, United Kingdom",51.6007632,-0.1946784,4.5
ChIJ-44DB0sbdkgRpy8C0Zkjku8,The Foxglove Public House,"209-211 Liverpool Rd, London N1 1LX, United Kingdom",51.539231,-0.1068555,4.7
ChIJ-4fM35YhdkgRaWtr1emLTso,Prince of Wales,"Burton Ln, Goff's Oak, Waltham Cross EN7 6SL, United Kingdom",51.7131206,-0.074978,4.3
ChIJ-57LM94FdkgRkQbpuqN65_M,Kings Head,"84 Upper Tooting Rd, Tooting Bec, London SW17 7PA, United Kingdom",51.43382099999999,-0.1630085,4.3
ChIJ-6pThJobdkgRnZ2393tj-KE,The World's End,"21-23 Stroud Green Rd, Finsbury Park, London N4 3EF, United Kingdom",51.56698979999999,-0.1082899,4.2
ChIJ-724azgMdkgR5vAv7VoeDmA,The Angel & Crown,"Church Ct, Richmond TW9 1JL, United Kingdom",51.460597,-0.304195,4.4
ChIJ-7lmda0cdkgRp8CZJHu9Jkk,The Railway Tavern,"15 Liverpool St, London EC2M 7NX, United Kingdom",51.5175038,-0.0833584,4.1
ChIJ-7zzoZVqdkgRUpGFE6-Pp6s,Southern Cross,"Southern Cross Hotel, 41-43 Langley Rd, Watford WD17 4PP, United Kingdom",51.6644774,-0.4040787,4.0
ChIJ-8RZ5SYDdkgReRoovWRZkLs,The Brunel,"47 Swan Rd, London SE16 4JN, United Kingdom",51.5013378,-0.0509902,4.4
ChIJ-9-PjLUadkgRGBhW2fraf9Y,The Larrik,"32 Crawford Pl, London W1H 5NN, United Kingdom",51.5187499,-0.1649889,4.4
ChIJ-9VzIsoLdkgRybr4LiVSgYg,The Coronation Hall - JD Wetherspoon,"7 St Mark's Hill, Surbiton KT6 4PJ, United Kingdom",51.39353389999999,-0.3036723,4.1
ChIJ-9e394MbdkgRWispWlHr8ek,The Kings Head,"126 Blackstock Rd, Finsbury Park, London N4 2DR, United Kingdom",51.5615807,-0.099778,4.3
