place,name,address,latitude,longitude,category,ranking,url,website
ChIJ-1LEVxIXdkgR9WIZue6vaM0,The King of Prussia,"363 Regents Park Rd, London N3 1DH, United Kingdom",51.6007632,-0.1946784,bar,4.5,,
ChIJ-4fM35YhdkgRaWtr1emLTso,Prince of Wales,"Burton Ln, Goff's Oak, Waltham Cross EN7 6SL, United Kingdom",51.7131206,-0.074978,bar,4.3,,
ChIJ-57LM94FdkgRkQbpuqN65_M,Kings Head,"84 Upper Tooting Rd, Tooting Bec, London SW17 7PA, United Kingdom",51.43382099999999,-0.1630085,bar,4.3,,
ChIJ-57LM94FdkgRkQbpuqN65_M,Kings Head,"84 Upper Tooting Rd, Tooting Bec, London SW17 7PA, United Kingdom",51.43382099999999,-0.1630085,restaurant,4.3,,
ChIJ-6pThJobdkgRnZ2393tj-KE,The World's End,"21-23 Stroud Green Rd, Finsbury Park, London N4 3EF, United Kingdom",51.56698979999999,-0.1082899,bar,4.2,,
ChIJ-724azgMdkgR5vAv7VoeDmA,The Angel & Crown,"Church Ct, Richmond TW9 1JL, United Kingdom",51.460597,-0.304195,bar,4.4,,
ChIJ-7zzoZVqdkgRUpGFE6-Pp6s,Southern Cross,"Southern Cross Hotel, 41-43 Langley Rd, Watford WD17 4PP, United Kingdom",51.6644774,-0.4040787,bar,4.0,,
ChIJ-9-PjLUadkgRGBhW2fraf9Y,The Larrik,"32 Crawford Pl, London W1H 5NN, United Kingdom",51.5187499,-0.1649889,bar,4.4,,
ChIJ-9-PjLUadkgRGBhW2fraf9Y,The Larrik,"32 Crawford Pl, London W1H 5NN, United Kingdom",51.5187499,-0.1649889,restaurant,4.4,,
ChIJ-9VzIsoLdkgRybr4LiVSgYg,The Coronation Hall - JD Wetherspoon,"7 St Mark's Hill, Surbiton KT6 4PJ, United Kingdom",51.39353389999999,-0.3036723,bar,4.1,,
ChIJ-QUOvGYZdkgRoPl1g9O1-U4,Springfield Tavern,"133 Bounds Green Rd, London N11 2PP, United Kingdom",51.60554639999999,-0.1227392,bar,4.3,,
ChIJ-TYY0bcYdkgR1zARL0lSwPU,The Ridgeway Tavern,"76 The Ridgeway, Enfield EN2 8JF, United Kingdom",51.66272069999999,-0.1039391,bar,4.1,,
ChIJ-TYY0bcYdkgR1zARL0lSwPU,The Ridgeway Tavern,"76 The Ridgeway, Enfield EN2 8JF, United Kingdom",51.66272069999999,-0.1039391,restaurant,4.1,,
ChIJ-_5lT-oLdkgRxpEwptxhqbM,The King's Tun - JD Wetherspoon,"153-157 Clarence St, Kingston upon Thames KT1 1QT, United Kingdom",51.41142019999999,-0.3005456,bar,4.0,,
ChIJ-bCLyGQXdkgRxYwkt96VgQY,Orange Tree Totteridge,"7 Totteridge Village, London N20 8NX, United Kingdom",51.6300718,-0.1974188,restaurant,4.2,,
ChIJ-bCLyGQXdkgRxYwkt96VgQY,Orange Tree Totteridge,"7 Totteridge Village, London N20 8NX, United Kingdom",51.6300718,-0.1974188,bar,4.2,,
ChIJ-bvJK6cadkgRoi8-VY3Dijw,Elgin - Maida Vale,"255 Elgin Ave., London W9 1NJ, United Kingdom",51.5303996,-0.185422,bar,4.3,,
ChIJ-cCTE8kPdkgRri6zR_jHTEY,The Grove Tavern,"83 Hammersmith Grove, London W6 0NQ, United Kingdom",51.4972809,-0.227496,bar,4.2,,
ChIJ-cCTE8kPdkgRri6zR_jHTEY,The Grove Tavern,"83 Hammersmith Grove, London W6 0NQ, United Kingdom",51.4972809,-0.227496,restaurant,4.2,,
ChIJ-wc5tTAZdkgRih-65IGoEbY,The Dog & Duck,"74 Hoppers Rd, London N21 3LH, United Kingdom",51.6255177,-0.1047981,bar,4.6,,
ChIJ-x-j68YfdkgRRe8AnIJ1Dk0,Old Wheatsheaf,"3 Windmill Hill, Enfield EN2 6SE, United Kingdom",51.653732,-0.0896516,bar,4.3,,
ChIJ-yvXmbQadkgRPnEMI14imuA,The Monkey Puzzle,"30 Southwick St, Tyburnia, London W2 1JQ, United Kingdom",51.5164067,-0.1697169,bar,4.5,,
ChIJ0-Rct4gUdkgRlTP5-iX_DUE,The Hare,"Weald, Brookshill, Old Redding, Harrow HA3 6SD, United Kingdom",51.6206883,-0.3429763000000001,restaurant,4.3,,
