pub_identity,detail_name,address,category,detail_latitude,detail_longitude,extra,place,ranking,website,url,color,scenic,sport,garden,music,roast,brunch,late,quiz,pool,dart,entertain,history,favourite,cocktail,beer,wine,outdoor,restaurant,nofeature,private,dj,comedy,karaoke,timeout,hours,monday,tuesday,wednesday,thursday,friday,saturday,sunday,station_name
d0cb2007-97dd-4d04-9090-b736188a704d,Finley's,"297 Hoxton St, N1 5JX",Bar,51.50429998465006,-0.0863711535930633,Women made wine shop,ChIJta8CEZoddkgRzUPFFO6tYHc,4.6,https://www.wheresfinley.com/,https://maps.google.com/?cid=8602066526339941325,#808000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,London Bridge
fd1f6053-8868-419a-a445-fd24a21e8b99,Ye Olde Watling,"29 Watling St, EC4M 9BR",Bar,51.51292242976256,-0.0935447216033935,"Pub with a history stretching back to the 17th century, serving real ales and a simple menu.",ChIJy2QpfVUDdkgR_ZjHMTwf28A,4.0,https://www.nicholsonspubs.co.uk/restaurants/london/yeoldewatlingwatlingstreetlondon?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,https://maps.google.com/?cid=13896735418575460605,#808000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Mansion House
c71ac728-66af-490d-95f4-16ee47ac0c5b,The Rabbit Hole,"151-153 Greyhound Ln, SW16 5NJ",Bar,51.421759884557495,-0.1298031583428383,"Family-friendly British pub with an Alice In Wonderland theme, plus sports on TV & patio tables.",ChIJC4BYQoUGdkgRkseYaSWoy-s,4.4,https://therabbitholepub.co.uk/,https://maps.google.com/?cid=16990858897824204690,#808000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Streatham
9b7c0aba-1eb5-4006-887b-d7903b0a566d,Ye Olde Cock Tavern,"22 Fleet St, EC4Y 1AA",Bar,51.51379814684957,-0.1105070114135742,"Dating from 1549 (and on this site since 1887) this pub has hosted Pepys, Dickens and Dr Johnson.",ChIJsecEQrMEdkgRvd4CVnayQPs,4.2,https://www.greeneking.co.uk/pubs/greater-london/ye-olde-cock-tavern?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,https://maps.google.com/?cid=18104666723348307645,#808000,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Temple
8905f38f-5abe-4ff7-9b22-72ab50645c21,The Dovetail,"9-10 Jerusalem Passage, EC1V 4JP",Bar,51.5232321,-0.1039848,Traditional local pub popular for its big selection of local & international beers.,ChIJeaFiSVAbdkgRMReUY6rO8Kw,4.0,http://www.dovetailec1.co.uk/,https://maps.google.com/?cid=12461687400144574257,#808000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,7d2edd81-42aa-454a-a209-3f2feccf6b1f,Farringdon
85734c01-6261-4784-b024-637b12b8d4f4,"Fuller""s Ale & Pie House","60-63 W Smithfield, EC1A 9DY",Bar,51.51879527524319,-0.1005265116691589,Victorian venue housing a classic London pub serving British grub and updated traditional rooms.,ChIJc1290q8EdkgRzmquDwQgy48,4.0,https://www.fullers.co.uk/pubs/pub-finder/ale-and-pie,https://maps.google.com/?cid=10361410569511004878,#808000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,dbf815d0-23df-46cd-baca-a155c4383575,f3677861-59a3-4dc3-938a-13bc4977a682,Barbican
168c5191-a91d-4774-af72-c0b60222cd5c,Famous Cock Tavern,"259 Upper St, N1 1RU",Bar,51.54603125945693,-0.1034611836075782,"Sizeable, brick-built traditional pub with booth seating, framed mirrors and a beer garden.",ChIJBZy_ImUbdkgRikjoTsqS6zY,4.1,https://www.crafted-social.co.uk/famous-cock-tavern-islington?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,https://maps.google.com/?cid=3957418095180007562,#808000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Highbury and Islington
94d24fde-0b24-4bec-a05d-3c8ca530db55,The Old Queens Head,"44 Essex Rd, N1 8LN",Bar,51.53722635051119,-0.1004061475396156,"Pub with worn sofas and carved stone fireplace for quizzes, comedy, big-name DJ sets and burgers.",ChIJD7jeSWcbdkgRwyRdbn_qKIQ,4.3,http://theoldqueenshead.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB_Listing,https://maps.google.com/?cid=9523119245108257987,#808000,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,a51628ab-06b4-4f19-9500-a6d00c398314,,d152d9da-6443-4cb2-ab0c-d07b57dc1558,,,,Essex Road
3e38be80-48d3-4177-a80d-7b670494e234,The French House,"49 Dean St, W1D 5BG",Bar,51.5127423600451,-0.1317464187741279,"Compact bar hung with photos, where literary crowd prefer wine to beer and embrace the no-tech rule.",ChIJBUj2-9IEdkgRmSNxHI1mals,4.5,http://www.frenchhousesoho.com/,https://maps.google.com/?cid=6587190161236370329,#808000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,Tottenham Court Road
0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,The Gardeners Arms Loughton,"103 York Hill, IG10 1RX",Bar,51.65444454376321,0.0599996745586395,Thursday 7.30pm quiz,ChIJP-zaZbqh2EcRhNdANKcXmyU,4.3,,https://maps.google.com/?cid=2709785607697127300,#808000,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,334b7c33-21e0-4e72-9bff-4963f076e3a3,,,,Loughton
