pub_identity,station_identity,detail_name,address,category,detail_deletion,detail_latitude,detail_longitude,extra,place,ranking,website,url
d0cb2007-97dd-4d04-9090-b736188a704d,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,Finley's,"297 Hoxton St, N1 5JX",Bar,True,51.50429998465006,-0.0863711535930633,Women made wine shop,ChIJta8CEZoddkgRzUPFFO6tYHc,4.6,https://www.wheresfinley.com/,https://maps.google.com/?cid=8602066526339941325
fd1f6053-8868-419a-a445-fd24a21e8b99,17d9ab39-318d-4187-bdcb-a6aa315d1997,Ye Olde Watling,"29 Watling St, EC4M 9BR",Bar,False,51.51292242976256,-0.0935447216033935,"Pub with a history stretching back to the 17th century, serving real ales and a simple menu.",ChIJy2QpfVUDdkgR_ZjHMTwf28A,4.0,https://www.nicholsonspubs.co.uk/restaurants/london/yeoldewatlingwatlingstreetlondon?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,https://maps.google.com/?cid=13896735418575460605
efcf3870-da4d-4a44-9c1b-3d5be38edeaa,6755ece0-c460-4849-9ba9-ece9e516d8f1,Marquess of Anglesey,"39 Bow St, WC2E 7AU",Bar,False,51.5128833,-0.1212482,"Rebuilt after being bombed during the Blitz, with a modern interior decked in historic photos.",ChIJtVNpD8sEdkgRW_kxR_77yN4,4.0,https://www.themarquess.co.uk/,https://maps.google.com/?cid=16053357941296855387
eabe0a83-2841-4c72-b86a-4fb5504e2161,a9dd3bb6-f448-4315-b4b9-be59803228f3,The George,"213 Strand, WC2R 1AP",Bar,False,51.5131978,-0.1130845,Gastropub for Modern British fare and local spirits and ales in a charming space above The George.,ChIJnx8u7bQEdkgRGm5XKuA0SBQ,4.0,https://www.georgeinthestrand.com/,https://maps.google.com/?cid=1461476216469417498
75d7f798-4740-483c-9140-88318b66078e,457a9061-abd6-4bb1-8017-0c1eaeb4efdd,The Coal Hole,"91-92 Strand, WC2R 0DW",bar,False,51.510391790277765,-0.1212948560714721,"Pub in former coal cellar for the Savoy Hotel, with antique tiled floors and real ale selection.",ChIJPyb_JskEdkgRDw4ffzUc8cQ,4.0,https://www.nicholsonspubs.co.uk/restaurants/london/thecoalholestrandlondon?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,https://maps.google.com/?cid=14191154916912729615
e8cbe945-648f-4a82-8e4b-8a6eb043af7f,6755ece0-c460-4849-9ba9-ece9e516d8f1,Christopher's,"18 Wellington St, WC2E 7DD",Bar,False,51.51193923626556,-0.1198330521583557,"Classic American steakhouse & grill, plus a martini cocktail bar in high-ceilinged rooms.",ChIJKZfgUMoEdkgRjRIYygsCkSY,4.0,http://www.christophersgrill.com/,https://maps.google.com/?cid=2779004694722777741
5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,a9dd3bb6-f448-4315-b4b9-be59803228f3,CellarDoor,"Zero Aldwych, Wellington St, WC2E 7DN",Bar,False,51.51149520644037,-0.1192627474665641,"Basement bar with nightly events, from burlesque to film screenings, selling cocktails and snuff.",ChIJa1uHRMoEdkgRq4LNAJbXbhg,4.4,http://www.cellardoor.biz/,https://maps.google.com/?cid=1760581543606977195
0ca14449-0d5b-4e03-9247-99fed9cebbc3,ebf71968-a0a8-48a5-b003-63b1b53f9375,Royal Festival Hall,"Southbank Centre, Belvedere Rd, SE1 8XX",bar,False,51.5060805,-0.1163042,Southbank Centre landmark hosting concerts and performing arts in a variety of spaces.,ChIJ8W1157cEdkgRaKMYsrcpgH0,4.0,https://www.southbankcentre.co.uk/venues/royal-festival-hall,https://maps.google.com/?cid=9043273920703669096
6bb18e6f-42e5-4f54-b98a-75302168364c,21d98f91-f4f6-4a17-9c96-2f81a74a8a5c,Kings Stores,"14 Widegate St, E1 7HP",Bar,False,51.51804462475466,-0.077819600701332,"Traditional-styled pub with wooden floors, live sport screenings and upstairs dining rooms.",ChIJ5RaXpLMcdkgR9zQEorKYcI4,4.3,https://www.kingsstores.co.uk/,https://maps.google.com/?cid=10263871443767145719
49bf46f8-088d-44aa-afee-c96875a311a7,6755ece0-c460-4849-9ba9-ece9e516d8f1,The Nags Head,"10 James St, WC2E 8BT",Bar,False,51.512913666247,-0.1236800104379654,"Large, busy pub with Victorian interior serving McMullens' draught beers and traditional pub food.",ChIJ2QufhMwEdkgRXCUo74j_0Zo,4.2,http://www.nagsheadcoventgarden.co.uk/,https://maps.google.com/?cid=11155978715566450012
9b7c0aba-1eb5-4006-887b-d7903b0a566d,a9dd3bb6-f448-4315-b4b9-be59803228f3,Ye Olde Cock Tavern,"22 Fleet St, EC4Y 1AA",Bar,False,51.51379814684957,-0.1105070114135742,"Dating from 1549 (and on this site since 1887) this pub has hosted Pepys, Dickens and Dr Johnson.",ChIJsecEQrMEdkgRvd4CVnayQPs,4.2,https://www.greeneking.co.uk/pubs/greater-london/ye-olde-cock-tavern?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,https://maps.google.com/?cid=18104666723348307645
9f2df78c-a1c4-4070-88da-8ba2d8bbe87d,1fb0c041-e7ac-4df4-a197-20518fad1038,Ye Olde Cheshire Cheese,"145 Fleet St, EC4A 2BP",Bar,False,51.51436796944155,-0.1071703433990478,"Historic gathering place doling out carefully sourced pub grub, wine & draught beer.",ChIJM0n9x7IEdkgRZllOf-c6RYQ,4.0,https://ye-olde-cheshire-cheese.co.uk/,https://maps.google.com/?cid=9531088952347220326
8905f38f-5abe-4ff7-9b22-72ab50645c21,86863791-1cbc-4743-8fc1-daed77eb8128,The Dovetail,"9-10 Jerusalem Passage, EC1V 4JP",Bar,False,51.5232321,-0.1039848,Traditional local pub popular for its big selection of local & international beers.,ChIJeaFiSVAbdkgRMReUY6rO8Kw,4.0,http://www.dovetailec1.co.uk/,https://maps.google.com/?cid=12461687400144574257
85734c01-6261-4784-b024-637b12b8d4f4,d97b5ad4-eff1-439d-aad7-b121519aa3db,Fuller's Ale & Pie House,"60-63 W Smithfield, EC1A 9DY",Bar,False,51.51879527524319,-0.1005265116691589,Victorian venue housing a classic London pub serving British grub and updated traditional rooms.,ChIJc1290q8EdkgRzmquDwQgy48,4.0,https://www.fullers.co.uk/pubs/pub-finder/ale-and-pie,https://maps.google.com/?cid=10361410569511004878
168c5191-a91d-4774-af72-c0b60222cd5c,6339de91-7b07-4cc2-960f-3e12bb216599,Famous Cock Tavern,"259 Upper St, N1 1RU",Bar,False,51.54603125945693,-0.1034611836075782,"Sizeable, brick-built traditional pub with booth seating, framed mirrors and a beer garden.",ChIJBZy_ImUbdkgRikjoTsqS6zY,4.1,https://www.crafted-social.co.uk/famous-cock-tavern-islington?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,https://maps.google.com/?cid=3957418095180007562
94d24fde-0b24-4bec-a05d-3c8ca530db55,d64263fb-509a-4339-a6d2-3a86b865c4a8,The Old Queens Head,"44 Essex Rd, N1 8LN",Bar,False,51.53722635051119,-0.1004061475396156,"Pub with worn sofas and carved stone fireplace for quizzes, comedy, big-name DJ sets and burgers.",ChIJD7jeSWcbdkgRwyRdbn_qKIQ,4.3,http://theoldqueenshead.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB_Listing,https://maps.google.com/?cid=9523119245108257987
3e38be80-48d3-4177-a80d-7b670494e234,a2fa95a7-428a-414b-a249-9e8d4a8aa9bd,The French House,"49 Dean St, W1D 5BG",Bar,False,51.5127423600451,-0.1317464187741279,"Compact bar hung with photos, where literary crowd prefer wine to beer and embrace the no-tech rule.",ChIJBUj2-9IEdkgRmSNxHI1mals,4.5,http://www.frenchhousesoho.com/,https://maps.google.com/?cid=6587190161236370329
0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,f06cb191-eeb2-4e39-9300-674af0a4be4b,The Gardeners Arms Loughton,"103 York Hill, IG10 1RX",Bar,False,51.65444454376321,0.0599996745586395,Thursday 7.30pm quiz,ChIJP-zaZbqh2EcRhNdANKcXmyU,4.3,,https://maps.google.com/?cid=2709785607697127300
5e7a2cf0-e9bc-4fc8-818b-763244375ebf,7d6570e0-c264-4105-a26e-7864393b92ed,Swingers Crazy Golf - West End,"15 John Prince's St, W1G 0AB",bar,False,51.51597539999999,-0.1434136,"Bustling, modern locale combining street eats, cocktails, DJ music & an indoor mini-golf course.",ChIJK7VnItUadkgRIKtptwcYHNw,4.0,https://swingers.club/uk/venues/west-end?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=west-end,https://maps.google.com/?cid=15860578409113037600
52c555f4-007f-4dd1-9d75-a0dfc38425ad,bdfe61ed-df50-4024-bdee-a23591f45736,Kibele Restaurant,"175-177 Great Portland St, W1W 5PJ",bar,False,51.5218837,-0.1436869,"Vibrant eatery offering classic & modern Turkish cuisine plus cocktails, live music & belly dancing.",ChIJ-bg_WdYadkgRD-AagbO6NpE,4.0,https://www.kibelerestaurant.co.uk/,https://maps.google.com/?cid=10463756064369860623
dc3dc762-de64-421e-bc0b-e861e3766ae2,08d27125-da1f-4d06-bdc3-ee4604a498d0,BiBo Shoreditch,"45 Curtain Rd, EC2A 3PT",Restaurant,False,51.52367858258219,-0.080561488866806,"Updated Spanish mains, tapas & creative cocktails in a sophisticated setting at the Mondrian Hotel.",ChIJqWi4-hgddkgRWtuFocZv6EI,4.3,https://book.ennismore.com/restaurants/bibo/shoreditch,https://maps.google.com/?cid=4821226300004227930
c7223326-661e-49ed-a0b2-da5bd4758508,1cd39885-66f1-47e2-8948-eb468ad78c3f,Nightjar Shoreditch,"129 City Rd, EC1V 1JB",Bar,False,51.52652471172488,-0.0877367332577705,"Speakeasy-style subterranean bar with live jazz and blues, for cocktails and rare spirits.",ChIJO5NM4aUcdkgR-XrNmE-75f8,4.6,http://www.barnightjar.com/,https://maps.google.com/?cid=18439350199878777593
610d6a7a-b922-4a4a-9302-6cdd869ce4f5,2ba058c6-bdcf-4144-bb4a-315a93adfd29,The Gunners,"204 Blackstock Rd, N5 1EN",Bar,False,51.55893287286906,-0.0987817347049713,"Traditional pub with heated beer garden, filled with Arsenal FC memorabilia and multiple TV screens.",ChIJPZQrmoEbdkgRYkei5lsTuCc,4.4,,https://maps.google.com/?cid=2862058848626296674
d5cd1760-b22e-49e8-832e-6eb5cab180f3,cc6e0333-78d2-454e-8928-cc3f843da984,Pub On The Park,"19 Martello St, E8 3PE",Bar,False,51.54203157096124,-0.0582277402281761,"Airy traditional pub with sofas and standard lamps, park-side beer garden, boules and weekend DJs.",ChIJJ_b_8OUcdkgRe50aD2Mcvuk,4.3,http://www.pubonthepark.com/,https://maps.google.com/?cid=16842930868192976251
ad2bbf86-9982-4180-a815-6e0b075eba1c,e3fdc4e4-8bce-4e2f-8282-edfd9691b041,The White Hart,"69 Stoke Newington High St, N16 8EL",Bar,False,51.55911296838674,-0.0743880495429039,"Pub with exposed brick walls and Chesterfields, for big screen live sports and large, leafy garden.",ChIJRZbnpGEcdkgRO2U7Q9YJEs4,4.0,http://whitehartstokenewington.com/,https://maps.google.com/?cid=14848941737249563963
e7e819fb-a913-467e-94d3-1ca2f6473a6e,cf3f6f99-3fcb-41c9-a73d-cbe05a277817,Lord Raglan E17,"199 Shernhall St, E17 9HX",Bar,False,51.58090780447581,-0.0034422799944877,No details on this pub,ChIJByRwS_QddkgRniyqEKqpBrY,4.2,http://www.lordraglanpub.com/,https://maps.google.com/?cid=13116357512652270750
32a17618-9e23-450c-b921-a6bab0dfdd6f,78974d23-26f1-44ca-a34b-526fb180e30b,Caffè Concerto Piccadilly,"29-31 Piccadilly, W1J 0LF",Bar,False,51.5092568379436,-0.1368308812379837,"Elegant Italian chain with a menu of mains, traditional dishes, salads & baked items.",ChIJl1l3INQEdkgR9NcwIm5QKmQ,3.5,http://www.caffeconcerto.co.uk/,https://maps.google.com/?cid=7217669786764892148
0c00dbd3-a6fd-4c6b-8006-2d98c0d8b175,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,Turtle Bay Walthamstow,"269 High St, E17 7FD",Bar,False,51.58508990075969,-0.0198590755462646,0,ChIJ3b0ZEukddkgRQkxkAutRFj8,4.3,http://www.turtlebay.co.uk/locations/walthamstow/?utm_source=ExtNet&utm_medium=Yext,https://maps.google.com/?cid=4545910943676386370
3c0e13d2-57f5-4e20-85da-8c49873b9224,57e01997-ee1b-4f2b-91fa-d0797ed221d2,Flat Iron Square,"45 Southwark St, SE1 9HP",Bar,False,51.504623460137545,-0.0933827832341194,"Casual food court serving lunchtime favourites such as noodles, pizza, salads & veggie dishes.",ChIJjQgs4acEdkgRQfSEih1EjSw,4.3,https://www.flatironsquare.co.uk/,https://maps.google.com/?cid=3210297003053741121
54ed8eb6-770a-4ed4-b269-a7c770447aed,1de6f3bd-59ca-47c3-9e5b-e924837389ba,The Coach & Horses,"22 High St, WD3 1ER",Bar,False,51.63937385814389,-0.4664475470781326,"Spacious, traditional inn with flagstones, bare bricks and beam decor, 2 bars and British dining.",ChIJf6KtQNNrdkgRiLfxZOJWPow,4.2,http://www.thecoachandhorses.info/,https://maps.google.com/?cid=10105610144222132104
