pub_identity,station_identity,detail_name,address,category,colour,detail_deletion,detail_latitude,detail_longitude,extra,place,rank
6d9c8d4e-fa1d-433d-aea4-ff3f5c36cb64,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,Shard Quarter,"297 Hoxton St, London N1 5JX, UK",Bar,#000000,True,51.50429998465006,-0.0863711535930633,Women made wine shop,ChIJta8CEZoddkgRzUPFFO6tYHc,4.6
fd1f6053-8868-419a-a445-fd24a21e8b99,17d9ab39-318d-4187-bdcb-a6aa315d1997,Ye Olde Watling,"29 Watling St, Greater, London EC4M 9BR, UK",Bar,#000000,False,51.51292242976256,-0.0935447216033935,Traditional pub,ChIJy2QpfVUDdkgR_ZjHMTwf28A,4.0
efcf3870-da4d-4a44-9c1b-3d5be38edeaa,6755ece0-c460-4849-9ba9-ece9e516d8f1,Marquess of Anglesey,"39 Bow St, London WC2E 7AU, UK",Bar,#000000,False,51.5128833,-0.1212482,Classic pub,ChIJtVNpD8sEdkgRW_kxR_77yN4,4.0
eabe0a83-2841-4c72-b86a-4fb5504e2161,a9dd3bb6-f448-4315-b4b9-be59803228f3,The George,"213 Strand, Temple, London WC2R 1AP, UK",Bar,#000000,False,51.5131978,-0.1130845,Beautiful facade,ChIJnx8u7bQEdkgRGm5XKuA0SBQ,4.0
75d7f798-4740-483c-9140-88318b66078e,457a9061-abd6-4bb1-8017-0c1eaeb4efdd,The Coal Hole,"91-92 Strand, Greater, London WC2R 0DW, UK",bar,#000000,False,51.510391790277765,-0.1212948560714721,No details on this pub,ChIJPyb_JskEdkgRDw4ffzUc8cQ,4.0
e8cbe945-648f-4a82-8e4b-8a6eb043af7f,6755ece0-c460-4849-9ba9-ece9e516d8f1,Christophers,"18 Wellington St, London WC2E 7DD, UK",Bar,#000000,False,51.51193923626556,-0.1198330521583557,American restaurant,ChIJKZfgUMoEdkgRjRIYygsCkSY,4.0
5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,a9dd3bb6-f448-4315-b4b9-be59803228f3,CellarDoor,"Zero Aldwych, Wellington St, London WC2E 7DN, UK",Bar,#000000,False,51.51149520644037,-0.1192627474665641,No details on this pub,ChIJa1uHRMoEdkgRq4LNAJbXbhg,4.4
0ca14449-0d5b-4e03-9247-99fed9cebbc3,ebf71968-a0a8-48a5-b003-63b1b53f9375,Royal Festival Hall,"Southbank Centre, Belvedere Rd, London SE1 8XX, UK",bar,#000000,False,51.5060805,-0.1163042,No details on this pub,ChIJ8W1157cEdkgRaKMYsrcpgH0,4.0
6bb18e6f-42e5-4f54-b98a-75302168364c,21d98f91-f4f6-4a17-9c96-2f81a74a8a5c,Kings Stores,"14 Widegate St, London E1 7HW, UK",Bar,#000000,False,51.51804462475466,-0.077819600701332,No details on this pub,ChIJ5RaXpLMcdkgR9zQEorKYcI4,4.3
49bf46f8-088d-44aa-afee-c96875a311a7,6755ece0-c460-4849-9ba9-ece9e516d8f1,The Nags Head,"10 James St, London WC2E 8BT, UK",Bar,#000000,False,51.512913666247,-0.1236800104379654,Traditional pub,ChIJ2QufhMwEdkgRXCUo74j_0Zo,4.2
9b7c0aba-1eb5-4006-887b-d7903b0a566d,a9dd3bb6-f448-4315-b4b9-be59803228f3,Ye Olde Cock Tavern,"22 Fleet St, Temple, London EC4Y 1AA, UK",Bar,#000000,False,51.51379814684957,-0.1105070114135742,Unique facade ,ChIJsecEQrMEdkgRvd4CVnayQPs,4.2
9f2df78c-a1c4-4070-88da-8ba2d8bbe87d,1fb0c041-e7ac-4df4-a197-20518fad1038,Ye Olde Cheshire Cheese,"145 Fleet St, London EC4A 2BP",Bar,#000000,False,51.51436796944155,-0.1071703433990478,Quirky inside,ChIJM0n9x7IEdkgRZllOf-c6RYQ,4.0
8905f38f-5abe-4ff7-9b22-72ab50645c21,86863791-1cbc-4743-8fc1-daed77eb8128,The Dovetail,"9-10 Jerusalem Passage, London EC1V 4JP, UK",Bar,#000000,False,51.5232321,-0.1039848,Belgian bar with beer tasting evenings,ChIJeaFiSVAbdkgRMReUY6rO8Kw,4.0
85734c01-6261-4784-b024-637b12b8d4f4,d97b5ad4-eff1-439d-aad7-b121519aa3db,Fullers Ale and Pie House,"60-63 W Smithfield, London EC1A 9DY",Bar,#000000,False,51.51879527524319,-0.1005265116691589,Classic pub,ChIJc1290q8EdkgRzmquDwQgy48,4.0
