pub_identity,monday,tuesday,wednesday,thursday,friday,saturday,sunday
efcf3870-da4d-4a44-9c1b-3d5be38edeaa,no events,no events,no events,no events,no events,no events,no events
fd1f6053-8868-419a-a445-fd24a21e8b99,no events,no events,no events,no events,no events,no events,no events
0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,no events,no events,no events,7.30pm quiz,no events,no events,no events
00578cd5-83ea-4e42-941e-347298312015,no events,no events,no events,no events,no events,no events,no events
0070a010-95c5-494b-878f-47bcae4be933,no events,no events,no events,no events,no events,no events,Closed
008849b1-87fd-4453-90f8-9b0089e78063,Ukelele jamming,Irish music,no events,Live piano,no events,no events,Live folk music
013c54a0-e7d1-4da6-bce1-995d7be626c9,no events,no events,no events,no events,no events,no events,no events
01e4fc21-05fd-4289-aa17-8b6f1ecbaff1,8pm quiz,no events,no events,no events,no events,no events,no events
0252299e-ca2a-4dad-941f-c48bd96d99b6,no events,7.30pm quiz,no events,no events,no events,no events,no events
027f706e-bd89-4b8e-861e-c9b0f3c21779,Live jazz music brunch,Live jazz music brunch,Live jazz music brunch,Live jazz music brunch,Live jazz music brunch,Live jazz music brunch,no events
02a020c2-6a22-426a-87ec-06d7b7be54ad,no events,no events,no events,no events,no events,no events,no events
02d0238e-4c9e-4b8b-a3d7-75932572cd2b,8pm quiz,no events,no events,no events,11pm live music,11pm live music,no events
030c2476-0498-4cdf-8368-5a55a1e8f902,Closed,Closed,Closed,no events,Live music,no events,Live music
034f929e-3ec9-4e3d-b7aa-ecaf4ecab4a7,no events,no events,7pm quiz,no events,no events,no events,no events
03720287-a239-42f8-9919-ba66747271b4,no events,no events,no events,no events,no events,no events,no events
038b9ae5-c670-4797-ae52-571c8eea95f1,Closed,no events,no events,no events,no events,no events,Closed
039eff8c-6227-49b2-be8a-36126274addf,no events,no events,no events,Quiz 8pm,no events,no events,no events
04738700-75a2-4d5c-864d-de41c81995db,no events,7pm quiz,no events,no events,no events,no events,live jazz
04972c65-d348-4b94-b7c4-d22f6ae9578b,no events,no events,no events,no events,no events,no events,no events
04ea139a-05b9-42ee-8bd0-3f3271c750e1,Bingo,no events,no events,no events,no events,no events,no events
05493a89-5d8f-407c-b5ca-d269f6d5af55,no events,no events,no events,no events,no events,Brunch at noon,no events
059d6c74-dbe3-4b7b-96cf-baa93595976c,no events,no events,no events,no events,no events,no events,no events
05f4d08e-e2cc-4597-9964-96bc3fd9c799,Closed,no events,no events,no events,no events,Live music,no events
060e9c82-2b9f-4547-bd1e-eb313934bc6b,no events,no events,no events,7.30pm quiz,no events,no events,no events
068816e9-c598-43e3-a324-2e79bbdbe25f,no events,no events,no events,no events,no events,no events,no events
06d84519-d68f-4037-a943-fb10361b023d,no events,no events,8pm quiz,no events,no events,no events,no events
06e2e2ca-8d55-41ac-bf73-855d9019d6f1,Closed,Closed,no events,no events,no events,no events,no events
06f154c0-d04f-45a7-9c9b-2832b779a411,no events,no events,no events,no events,no events,no events,no events
0748c729-9d48-488a-b224-f6bcec262442,no events,8pm quiz,no events,no events,no events,no events,no events
0749dc1d-64cb-4c59-b900-82481ccb3fc4,no events,no events,no events,no events,no events,no events,no events
07880a7e-e71d-474e-9919-a5d0401ffd8b,no events,no events,no events,no events,no events,no events,no events
0789f736-9172-4748-8736-6d71f3d9b4e4,no events,no events,no events,no events,no events,no events,no events
07cb0b23-2f4a-4ad6-9425-61afba597d59,Closed,Closed,Closed,no events,no events,no events,no events
07ced535-706f-4e45-9cb9-26e0850855ed,no events,no events,no events,no events,no events,no events,no events
083fcd78-e119-48ec-92c1-604a8645fb7c,no events,no events,no events,no events,no events,no events,no events
086c0823-e45c-4973-9bff-ef07bbb9d14a,no events,no events,no events,no events,no events,no events,no events
08d5404b-ae5c-4e66-b7d3-b3b50958895e,no events,no events,no events,no events,no events,no events,no events
096d7663-cbd1-446f-8c85-6760d22b7599,no events,no events,no events,no events,no events,no events,no events
09e133c1-5f81-4792-bbad-8cb3e30d75f7,Closed,no events,no events,no events,no events,no events,no events
0a0b64ce-badb-49b7-b4e6-2a725d564598,no events,board games,no events,no events,DJs,DJs,8pm quiz
0a1f8e69-4020-4dad-8a4a-a3925e7d03ce,no events,no events,no events,no events,no events,no events,no events
0a8a43f0-000e-4a88-9874-d13926e71eed,no events,no events,no events,7.30pm quiz,no events,no events,no events
0b077dca-28af-4973-88c4-39ffe0b4f2cf,no events,no events,no events,no events,no events,no events,no events
0b1ef52c-4497-4de4-b606-305b2ee1911e,no events,no events,quiz,no events,no events,live music,no events
0b938518-efd3-47e3-bdc8-5c276cf701ef,no events,no events,no events,no events,no events,no events,no events
0c00dbd3-a6fd-4c6b-8006-2d98c0d8b175,no events,no events,no events,no events,no events,no events,no events
0c2cae40-bf1d-402b-bcd9-d7d22cb9c0f1,no events,no events,no events,no events,no events,no events,no events
0c448145-6d59-4bd8-abe8-ab0327021ea6,no events,no events,no events,no events,no events,no events,no events
0d0566ca-beb3-41be-8a22-5415fcf79d43,no events,Comedy,no events,no events,no events,Comedy,Comedy
0d2fa8e4-7e01-405e-91be-f59cfbd35277,TBC,TBC,TBC,TBC,TBC,TBC,TBC
0d4dd558-590d-4046-a40d-87b1475fb44a,no events,7.30pm quiz,no events,no events,no events,no events,no events
0f215e66-e989-484c-a456-e2c06e807d29,no events,no events,no events,no events,no events,no events,no events
0f579ca8-06f4-427a-ab4d-ae685bc3a473,no events,no events,no events,no events,no events,no events,no events
0f955e0b-e77a-4a59-8c8d-3297abca1313,no events,quiz,no events,no events,no events,no events,live music
105f372b-0c99-4eaf-8490-6355c87414b7,no events,no events,no events,no events,no events,no events,no events
10a50535-ea54-48e5-840b-0f467d4b339a,no events,no events,no events,no events,no events,no events,no events
10c365ee-4888-4527-9734-cb36708b07db,no events,no events,no events,no events,no events,no events,no events
10dc64f5-8af5-40bf-a626-55a2c00a913d,no events,no events,no events,no events,no events,no events,no events
f90e7e08-a44f-48d4-ba4b-e71c2e42beb4,no events,no events,no events,no events,no events,no events,no events
111a75e9-2d09-486a-a54e-5992dbc2eca0,Closed,Closed,no events,no events,no events,no events,no events
1133ab17-2ca6-456a-844f-e1eb40a8bb3d,no events,no events,no events,no events,no events,no events,no events
1150b070-051c-4757-9539-0b085a4551dc,no events,no events,no events,no events,no events,no events,no events
1190fe04-7140-4fc0-82a1-8aa5e60e2cf0,TBC,TBC,TBC,TBC,TBC,TBC,TBC
11e6a9b3-c9bb-4074-99b3-ac719ffcd1ff,Closed,no events,no events,no events,no events,no events,no events
1271097e-084d-4fe9-a4fa-753df9ad1268,no events,no events,no events,no events,no events,no events,no events
128ebbec-59a4-431c-9473-fc011f0210ca,no events,no events,no events,no events,no events,no events,no events
12a39cf2-449c-4e3e-b7ca-40622cf386aa,no events,7.30pm quiz,no events,no events,no events,no events,no events
12b05c98-b08f-4df2-850e-76180a358f48,no events,no events,no events,Steak night,no events,no events,no events
1305f2b9-18f3-4e05-964c-000407d6dc88,no events,no events,no events,no events,no events,no events,no events
13177ee7-67ff-42b4-8bd1-4c1f7a91598f,comedy,no events,8pm quiz,no events,no events,no events,no events
132ae07c-5a77-4646-b439-efb23e4ae3cf,no events,no events,no events,no events,no events,no events,no events
1342830d-e087-49e6-8266-71ea278355b2,no events,no events,no events,no events,no events,no events,no events
139bde09-27ac-4b94-a94e-9a030fffa1a8,no events,no events,no events,no events,no events,no events,no events
13fb6723-9762-460f-95e1-0da7c5a12f52,no events,no events,no events,no events,no events,no events,no events
1403808e-3733-4107-bb1b-9ec444a34484,no events,no events,no events,no events,no events,no events,no events
143ea7fa-72e7-47a9-b034-8f95a5465e62,no events,no events,no events,no events,no events,no events,quiz
144c41db-e6f0-4b3f-b6d1-5b6b5b2e5fcb,no events,no events,no events,7.30pm quiz,no events,no events,no events
1496934f-16e7-4848-b686-504957119989,no events,no events,no events,Live music,Live music,Live music,no events
14ca1c76-ccbf-48b7-aa3f-d0276cb0e0dd,no events,no events,no events,no events,no events,no events,no events
1524dcfa-ec35-4518-8373-45b6a1d702c8,no events,no events,no events,no events,no events,no events,no events
152d53a2-07ed-4b5b-8cc4-ef9ab45c57e3,no events,no events,no events,no events,no events,no events,no events
15ea92fa-f9d6-43b6-b2aa-3d58139d18fe,no events,no events,no events,no events,no events,no events,Closed
1605a183-1c79-44a6-905a-aab6d109bfbf,Closed,Closed,no events,no events,no events,no events,no events
162dd12d-330c-429f-a3e1-12661ebfb5c7,no events,no events,8.30pm quiz,no events,no events,no events,no events
169e21f6-c32f-4ad6-862c-db0712ee1fb0,no events,no events,no events,no events,no events,no events,no events
16f76f29-ae95-49a7-8591-27ab87dd1bf4,no events,no events,no events,no events,no events,no events,no events
17168dd2-1b21-4175-a60f-ae9324c45d2c,no events,no events,no events,no events,no events,no events,no events
