pub_identity,area_identity,station_identity,pub_deletion,pub_name,address,category,colour,place,pub_latitude,pub_longitude,rank,detail
6d9c8d4e-fa1d-433d-aea4-ff3f5c36cb64,00763a76-7504-4fd1-84e1-57184c44e46f,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,true,Shard Quarter,"297 Hoxton St, London N1 5JX, UK",Bar,#000000,ChIJta8CEZoddkgRzUPFFO6tYHc,51.50429998465006,-0.0863711535930633,4.6,Women made wine shop
fd1f6053-8868-419a-a445-fd24a21e8b99,71f589fb-f617-48b9-b779-dc1e8d73b1fe,17d9ab39-318d-4187-bdcb-a6aa315d1997,false,Ye Olde Watling,"29 Watling St, Greater, London EC4M 9BR, UK",Bar,#000000,ChIJy2QpfVUDdkgR_ZjHMTwf28A,51.51292242976256,-0.0935447216033935,4.0,Traditional pub
efcf3870-da4d-4a44-9c1b-3d5be38edeaa,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,6755ece0-c460-4849-9ba9-ece9e516d8f1,false,Marquess of Anglesey,"39 Bow St, London WC2E 7AU, UK",Bar,#000000,ChIJtVNpD8sEdkgRW_kxR_77yN4,51.5128833,-0.1212482,4.0,Classic pub
eabe0a83-2841-4c72-b86a-4fb5504e2161,87fbc59f-9c44-4e78-b4b5-000ef3b4d559,a9dd3bb6-f448-4315-b4b9-be59803228f3,false,The George,"213 Strand, Temple, London WC2R 1AP, UK",Bar,#000000,ChIJnx8u7bQEdkgRGm5XKuA0SBQ,51.5131978,-0.1130845,4.0,Beautiful facade
75d7f798-4740-483c-9140-88318b66078e,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,457a9061-abd6-4bb1-8017-0c1eaeb4efdd,false,The Coal Hole,"91-92 Strand, Greater, London WC2R 0DW, UK",bar,#000000,ChIJPyb_JskEdkgRDw4ffzUc8cQ,51.510391790277765,-0.1212948560714721,4.0,No details on this pub
e8cbe945-648f-4a82-8e4b-8a6eb043af7f,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,6755ece0-c460-4849-9ba9-ece9e516d8f1,false,Christophers,"18 Wellington St, London WC2E 7DD, UK",Bar,#000000,ChIJKZfgUMoEdkgRjRIYygsCkSY,51.51193923626556,-0.1198330521583557,4.0,American restaurant
5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,a9dd3bb6-f448-4315-b4b9-be59803228f3,false,CellarDoor,"Zero Aldwych, Wellington St, London WC2E 7DN, UK",Bar,#000000,ChIJa1uHRMoEdkgRq4LNAJbXbhg,51.51149520644037,-0.1192627474665641,4.4,No details on this pub
0ca14449-0d5b-4e03-9247-99fed9cebbc3,31e94930-b83f-4fed-914f-23c75fb14cae,ebf71968-a0a8-48a5-b003-63b1b53f9375,false,Royal Festival Hall,"Southbank Centre, Belvedere Rd, London SE1 8XX, UK",bar,#000000,ChIJ8W1157cEdkgRaKMYsrcpgH0,51.5060805,-0.1163042,4.0,No details on this pub
6bb18e6f-42e5-4f54-b98a-75302168364c,42591133-6127-4928-a6fc-d0f99e2c3d9a,21d98f91-f4f6-4a17-9c96-2f81a74a8a5c,false,Kings Stores,"14 Widegate St, London E1 7HW, UK",Bar,#000000,ChIJ5RaXpLMcdkgR9zQEorKYcI4,51.51804462475466,-0.077819600701332,4.3,No details on this pub
49bf46f8-088d-44aa-afee-c96875a311a7,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,6755ece0-c460-4849-9ba9-ece9e516d8f1,false,The Nags Head,"10 James St, London WC2E 8BT, UK",Bar,#000000,ChIJ2QufhMwEdkgRXCUo74j_0Zo,51.512913666247,-0.1236800104379654,4.2,Traditional pub
