review_identity,review_deletion,pub_identity,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport,beer,cocktail,outdoor,restaurant,wine,nofeature,scenic,private
991bd604-0631-47cf-b694-45099212a406,0.0,fd1f6053-8868-419a-a445-fd24a21e8b99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
f2df2681-9b63-46a7-83f2-1fb8d6e3e0a1,0.0,efcf3870-da4d-4a44-9c1b-3d5be38edeaa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
50fa15ac-5cd3-41ab-a183-54e52897955a,0.0,eabe0a83-2841-4c72-b86a-4fb5504e2161,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
e55d062a-f75b-4d7e-95bb-2f7199650949,0.0,75d7f798-4740-483c-9140-88318b66078e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
aa272853-1d21-42b2-a927-507904cbe0f3,0.0,e8cbe945-648f-4a82-8e4b-8a6eb043af7f,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,
9aa2f873-b061-4b53-9c8d-f2aedc25dfe7,0.0,5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
b2fc5b4f-5be7-4366-a632-09e166da3bfa,0.0,0ca14449-0d5b-4e03-9247-99fed9cebbc3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
a1f75b71-aeba-4a08-8a3c-ae5b3ae7098a,0.0,49bf46f8-088d-44aa-afee-c96875a311a7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
9dbbb2b3-381a-43ad-892a-0ecdbc16bb35,0.0,9b7c0aba-1eb5-4006-887b-d7903b0a566d,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,
a0109ed7-ce3e-4aa9-855c-f8bbe27360a2,0.0,9f2df78c-a1c4-4070-88da-8ba2d8bbe87d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
f3d4192b-6ed2-4e2c-9db4-f04faf9e46ea,0.0,8905f38f-5abe-4ff7-9b22-72ab50645c21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21afb3d4-1d3b-4bd3-90ed-21ac95bf2f81,0.0,85734c01-6261-4784-b024-637b12b8d4f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
c2fe8297-6be5-49b1-b6c8-cf132390cb70,0.0,3e38be80-48d3-4177-a80d-7b670494e234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
2e72dba8-34d9-403e-a1c3-e6de20da8dc0,0.0,0027d4bf-8c57-473e-aa7e-33a3b1b1d95b,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,
843c4104-06da-46fb-95f9-afadcc31e47d,0.0,5e7a2cf0-e9bc-4fc8-818b-763244375ebf,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a5fa0050-10f1-4bdf-bc09-4ed243ebcd1b,0.0,168c5191-a91d-4774-af72-c0b60222cd5c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
2a0b9403-c043-4bd7-b1d6-5365e311bd46,0.0,94d24fde-0b24-4bec-a05d-3c8ca530db55,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,
f265f887-8e50-4455-9e34-6bee5592823d,0.0,6bb18e6f-42e5-4f54-b98a-75302168364c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
1516f425-7fa0-4e38-bb51-2ced9cb160d5,0.0,52c555f4-007f-4dd1-9d75-a0dfc38425ad,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
a8bce1be-ffb0-4b84-973a-a8c41853e595,0.0,dc3dc762-de64-421e-bc0b-e861e3766ae2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
c7223326-661e-49ed-a0b2-da5bd4758508,0.0,c7223326-661e-49ed-a0b2-da5bd4758508,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
610d6a7a-b922-4a4a-9302-6cdd869ce4f5,0.0,610d6a7a-b922-4a4a-9302-6cdd869ce4f5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
d5cd1760-b22e-49e8-832e-6eb5cab180f3,0.0,d5cd1760-b22e-49e8-832e-6eb5cab180f3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,
ad2bbf86-9982-4180-a815-6e0b075eba1c,0.0,ad2bbf86-9982-4180-a815-6e0b075eba1c,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,
