station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction_identity
3bd8363a-0105-4c08-9cff-28e42443edbb,false,Abbey Road,51.53195199547294,0.0037233710983363,3,E15 3NB,d760aad1-f5d3-476a-9030-9fb1c919b639
f6338a9e-aea0-4e03-b144-d7f450944a7a,false,Abbey Wood,51.49078429543708,0.1202719706406512,4,SE2 9RH,4e8ce58e-daea-4d93-9490-11e0724e6445
b0a41353-fd1b-4caf-9491-40a19f7e38cb,false,Acton Central,51.508757351253415,-0.2634301953256889,2,W3 6BH,095bb39d-fce2-48a9-a766-d2c297c55985
e4801c01-89a1-4f0f-986d-2fee0a490dce,false,Acton Main Line,51.516886495162936,-0.2676899480142479,3,W3 9EH,095bb39d-fce2-48a9-a766-d2c297c55985
fd9808bc-a2ce-4e09-8a3a-55b321863d81,false,Acton Town,51.50307098636339,-0.280302696832724,3,W3 8HN,095bb39d-fce2-48a9-a766-d2c297c55985
1c9814b6-8730-4d44-9667-ec9e09f427f5,false,Addington Village,51.35623853949495,-0.032665100332062,"3,4,5,6",CR0 5AR,a1f41008-b499-4a71-82d4-444dc4d71d82
de4d1f92-25c6-4849-b946-680916ca59d4,false,Addiscombe,51.37980817216768,-0.0732132825198676,"3,4,5,6",CR0 7AA,a1f41008-b499-4a71-82d4-444dc4d71d82
50250aac-e7b8-4db5-b538-2acb69105ebd,false,Albany Park,51.435815816166325,0.1264446387204615,5,DA5 3HP,a1f41008-b499-4a71-82d4-444dc4d71d82
f1fd90e4-502a-4f27-b00f-09eaa4d9db30,false,Aldgate,51.5143422574978,-0.0756269123224862,1,EC3N 1AH,fa3a9c79-9948-4923-ac41-55e5962faba9
c12dd601-4162-4a6f-aeac-bf06652af750,false,Aldgate East,51.51508150569872,-0.0730014624207395,1,E1 7PT,d760aad1-f5d3-476a-9030-9fb1c919b639
